Ref,Val,Package,PosX,PosY,Rot,Side
"R20","3k","RESC2012X65N",163.520000,-138.258000,-90.000000,bottom
"R21","10k","RESC2012X65N",140.990000,-143.338000,90.000000,bottom
"R22","1k","R_0805_2012Metric",112.330000,-78.900000,90.000000,bottom
"R24","0","RESC2012X65N",155.888000,-79.350000,180.000000,bottom
"R25","0","RESC2012X65N",155.860000,-83.790000,180.000000,bottom
"R26","0","RESC2012X65N",96.600000,-131.900000,90.000000,bottom
"R27","1k","RESC2012X65N",173.290000,-82.990000,-90.000000,bottom
"R28","1k","RESC2012X65N",168.170000,-82.400000,-90.000000,bottom
"T1","BC847","SOT23",198.620000,-129.730000,-90.000000,bottom
"T2","BC847","SOT23",206.910000,-129.800000,90.000000,bottom
"T3","BC847","SOT23",90.480000,-137.800000,-90.000000,bottom
"T4","BC847","SOT23",176.740000,-82.980000,90.000000,bottom
"U2","CH340C","SOIC127P600X180-16N",202.580000,-122.145000,180.000000,bottom
"U3","MT3608","SOT95P280X145-6N",93.080000,-134.170000,180.000000,bottom
"U4","TP4056","SOP127P600X175-9N",158.435000,-138.965000,180.000000,bottom
"U5","AMS1117-3.3","SOT229P700X180-4N",118.855000,-137.620000,180.000000,bottom
"edukit_mountinghole3","~","edukit_mountinghole",117.970000,-125.572000,180.000000,bottom
"edukit_mountinghole3","~","edukit_mountinghole",178.260000,-125.560000,180.000000,bottom
"D3","LED","LED_PLCC_2835",95.870000,-65.770000,-1.000000,top
"D5","green","LEDC2012X70N",156.960000,-147.830000,90.000000,top
"D6","red","LEDC2012X70N",159.420000,-147.830000,90.000000,top
"D7","white","LEDC2012X70N",140.950000,-147.860000,90.000000,top
"J1","CSP-USC16-TR","VALCON_CSP-USC16-TR",148.610000,-144.890000,0.000000,top
"J3","S4B-PH-K-S(LF)(SN)","JST_S4B-PH-K-S(LF)(SN)",85.880000,-146.020000,0.000000,top
"J4","S4B-PH-K-S(LF)(SN)","JST_S4B-PH-K-S(LF)(SN)",102.100000,-146.060000,0.000000,top
"J5","S4B-PH-K-S(LF)(SN)","JST_S4B-PH-K-S(LF)(SN)",118.520000,-146.060000,0.000000,top
"J6","S4B-PH-K-S(LF)(SN)","JST_S4B-PH-K-S(LF)(SN)",169.260000,-145.890000,0.000000,top
"J7","S4B-PH-K-S(LF)(SN)","JST_S4B-PH-K-S(LF)(SN)",184.480000,-145.970000,0.000000,top
"J8","S4B-PH-K-S(LF)(SN)","JST_S4B-PH-K-S(LF)(SN)",200.540000,-146.110000,0.000000,top
"J9","S4B-PH-K-S(LF)(SN)","JST_S4B-PH-K-S(LF)(SN)",216.880000,-146.110000,0.000000,top
"J10","Conn_01x01_Pin","educate_touchpad",226.122370,-102.992282,-137.000000,top
"J11","Conn_01x01_Pin","educate_touchpad",215.269190,-92.128120,-136.000000,top
"J12","Conn_01x01_Pin","educate_touchpad",204.441226,-81.227787,-136.000000,top
"J13","Conn_01x01_Pin","educate_touchpad",193.631226,-70.337787,-136.000000,top
"LS1","CMT-8530S-SMT","CUI_CMT-8530S-SMT",174.340000,-83.340000,0.000000,top
"R23","LDR07","R_LDR_5.1x4.3mm_P3.4mm_Vertical",109.310009,-78.229987,180.000000,top
"S1","boot","434121025816",155.840000,-122.340000,0.000000,top
"S2","reset","434121025816",136.560000,-122.260000,0.000000,top
"S3","JS202011SCQN","SW_JS202011SCQN",133.210000,-145.860000,-90.000000,top
"S8","B3SL-1022P","SW_B3SL-1022P",204.255000,-111.760000,0.000000,top
"S9","B3SL-1022P","SW_B3SL-1022P",194.095000,-103.260000,0.000000,top
"S10","B3SL-1022P","SW_B3SL-1022P",183.930000,-111.740000,0.000000,top
"S11","B3SL-1022P","SW_B3SL-1022P",194.025000,-120.090000,0.000000,top
"S12","B3SL-1022P","SW_B3SL-1022P",194.055000,-111.730000,0.000000,top
"SV1","MA04-1","DISPLAY-OLED-128X64-I2C",88.802500,-102.582500,0.000000,top
